时间(s),温度(摄氏度)
147.5,159.87331162327243
148.0,159.99390307200846
148.5,160.12329395886437
149.0,160.24158888537386
149.5,160.36851567505695
150.0,160.4845578138984
150.5,160.60906743223492
151.0,160.7228996850944
151.5,160.8450381642642
152.0,160.95670261581643
152.5,161.0765151114884
153.0,161.1860531593511
153.5,161.30358861641406
154.0,161.41108005991504
154.5,161.5265834357001
155.0,161.63261783336162
155.5,161.74743069957253
156.0,161.854134672298
156.5,161.9716598258845
157.0,162.08317565964114
157.5,162.20884400886496
158.0,162.33083725181672
158.5,162.47114283588382
159.0,162.60952443298515
159.5,162.77027536863824
160.0,162.929461302813
160.5,163.1141323876158
161.0,163.29602953378733
161.5,163.50533125917173
162.0,163.70948791708096
162.5,163.9419448865709
163.0,164.16629388389623
163.5,164.41911840945494
164.0,164.6607506952356
164.5,164.93058499203258
165.0,165.1863232654837
165.5,165.46973695286036
166.0,165.73648908214892
166.5,166.03026287370372
167.0,166.30520764161346
167.5,166.60646859590827
168.0,166.88713283433196
168.5,167.19339865823412
169.0,167.47767105571378
169.5,167.78684385360037
170.0,168.0729553351442
170.5,168.38329025857485
171.0,168.66977907426482
171.5,168.97984281278377
172.0,169.26551465382144
172.5,169.57414200345298
173.0,169.85803063793566
173.5,170.16428335202392
174.0,170.44561443571823
174.5,170.74874424188323
175.0,171.02690335997818
175.5,171.32631974712652
176.0,171.600824882891
176.5,171.89606759431686
177.0,172.16654578870472
177.5,172.45726163886553
178.0,172.72342941415855
178.5,173.0093529217468
179.0,173.27099998231435
179.5,173.55193729011918
180.0,173.80891302203992
180.5,174.08472896967191
181.0,174.33693882090245
181.5,174.6076125194688
182.0,174.85525858635577
182.5,175.1215615664518
183.0,175.36622006904898
183.5,175.63113181719757
184.0,175.8768808994854
184.5,176.14623471874654
185.0,176.39959082638012
185.5,176.6813216789896
186.0,176.9499519630065
186.5,177.25208492817058
187.0,177.54254101405564
187.5,177.87072270961485
188.0,178.18661392279847
188.5,178.54295973187624
189.0,178.88469437987573
189.5,179.26821065625114
190.0,179.63380346298283
190.5,180.04147215554008
191.0,180.427575199892
191.5,180.85538796941745
192.0,181.25811580877956
192.5,181.70180758258306
193.0,182.11726981887898
193.5,182.5727554934217
194.0,182.99734976993273
194.5,183.4609445359341
195.0,183.8914887572343
195.5,184.35999208109035
196.0,184.79376058056175
196.5,185.26446258964293
197.0,185.69917027544557
197.5,186.16981838274032
198.0,186.60358002452415
198.5,187.07232831567225
199.0,187.5036086268892
199.5,187.96896259084411
200.0,188.39652556439384
200.5,188.82194086852752
201.0,189.28015040146303
201.5,189.7004691127924
202.0,190.15276233511108
202.5,190.56729815886135
203.0,191.01302145529135
203.5,191.4212463864844
204.0,191.85990158082942
204.5,192.26141751687982
205.0,192.69263373039612
205.5,193.08714875008204
206.0,193.5106589727261
206.5,193.89796764884585
207.0,194.31358934448897
207.5,194.69355647496818
208.0,195.10117631745646
208.5,195.47373564137254
209.0,195.87338499677494
209.5,196.23881695600488
210.0,196.63136540440354
210.5,196.99129104166022
211.0,197.37962914487196
211.5,197.73784903988698
212.0,198.12725529076485
212.5,198.4895298486793
213.0,198.88686514503345
213.5,199.25966651756005
214.0,199.671524806377
214.5,200.0600754234549
215.0,200.4907975879384
215.5,200.89772900564546
216.0,201.34868400479576
216.5,201.7740198014861
217.0,202.24410685759167
217.5,202.6860104572614
218.0,203.1725885076976
218.5,203.6282114186001
219.0,204.1279284402571
219.5,204.5940598714325
220.0,205.10342213631918
220.5,205.5768970829445
221.0,206.09259970503075
221.5,206.57051769166134
222.0,207.08960624593777
222.5,207.56942574829864
223.0,208.0893533017465
223.5,208.5689130331917
224.0,209.08753853581035
224.5,209.565039756408
225.0,210.08059695994945
225.5,210.55456763747415
226.0,211.06562173258882
226.5,211.53487444891132
227.0,212.04027593252238
227.5,212.50386589340948
228.0,213.00270655007537
228.5,213.45989279822197
229.0,213.9514660128226
229.5,214.40167710584976
230.0,214.8854432532461
230.5,215.32824767861638
231.0,215.80380456626844
231.5,216.23888566629358
232.0,216.70594363670304
232.5,217.13307859408292
233.0,217.5914397464246
233.5,218.01048210796654
234.0,218.46002306853853
234.5,218.87088828941842
235.0,219.31154598952318
235.5,219.7141995219245
236.0,220.14595949666568
236.5,220.54040700252872
237.0,220.96329378709268
237.5,221.34957311325616
238.0,221.76364237546136
238.5,222.14181698484737
239.0,222.54714908982396
239.5,222.9173026919689
240.0,223.3139974451318
240.5,223.67622961252135
241.0,224.06440197024412
241.5,224.41882456369424
242.0,224.79860113769817
242.5,225.14533539497748
243.0,225.51685160710377
243.5,225.85602577481674
244.0,226.21942354434725
244.5,226.5511709545174
245.0,226.90659682130976
245.5,227.23105433179592
246.0,227.57865793589983
246.5,227.89596466835258
247.0,228.23589752109672
247.5,228.54619384214544
248.0,228.8786083354457
248.5,229.18203503664043
249.0,229.50708364693253
249.5,229.80378128703484
250.0,230.12161593814741
250.5,230.4117243179731
251.0,230.72249587373892
251.5,231.00615361917232
252.0,231.31001148188733
252.5,231.58735571512102
253.0,231.88444751030477
253.5,232.15561359298874
254.0,232.44608492446037
254.5,232.71120625941563
255.0,232.99520052161003
255.5,233.25440840219443
256.0,233.53206663902807
256.5,233.78549013722915
257.0,234.05695093877304
257.5,234.30471682473498
258.0,234.57011625454953
258.5,234.81234894156873
259.0,235.07182048885875
259.5,235.30864199897508
260.0,235.56231655079333
260.5,235.79384649699642
261.0,236.0418523265949
261.5,236.26820790839017
262.0,236.51067067653656
262.5,236.73196668621793
263.0,236.96900945287496
263.5,237.18535829033357
264.0,237.4171015345818
264.5,237.62861322888327
265.0,237.85517487535446
265.5,238.0619571116354
266.0,238.28345245881022
266.5,238.48560602032578
267.0,238.70208908565635
267.5,238.89943446756234
268.0,239.1100120436585
268.5,239.30048707946176
269.0,239.5009054640662
269.5,239.6782645125191
270.0,239.85901034404355
270.5,240.01197029905182
271.0,240.158393861811
271.5,240.2716790957093
272.0,240.36616121775128
272.5,240.4234644394548
273.0,240.44938025058602
273.5,240.43714530299047
274.0,240.38237583651787
274.5,240.29206271043327
275.0,240.15025822165788
275.5,239.97853622680714
276.0,239.74854237626107
276.5,239.4962980902603
277.0,239.18082678433808
277.5,238.85186620666394
278.0,238.45613336268798
278.5,238.05602837968715
279.0,237.58665144810908
279.5,237.1218674969676
280.0,236.58607370039167
280.5,236.06336926756666
281.0,235.46847009617375
281.5,234.89451153527898
282.0,234.24757694457944
282.5,233.62870835666428
283.0,232.93638034950183
283.5,232.27849895265106
284.0,231.5468979479147
284.5,230.8553983009825
285.0,230.09008894523922
285.5,229.36985045137666
286.0,228.57584404306485
286.5,227.83124449952558
287.0,227.01302284703362
287.5,226.247966720803
288.0,225.40951757429215
288.5,224.62747173001853
289.0,223.77232952249148
289.5,222.97636183745564
290.0,222.10764985626008
290.5,221.30046794040814
291.0,220.42093961037887
291.5,219.60492800774776
292.0,218.71700597372754
292.5,217.89426096372154
293.0,217.00007330022032
293.5,216.1724348850744
294.0,215.27384816039566
294.5,214.44292911388362
295.0,213.54157827918132
295.5,212.70879030428065
296.0,211.80610552025294
296.5,210.97268266164812
297.0,210.06991325343157
297.5,209.23693276167288
298.0,208.335168529823
298.5,207.50356939541567
299.0,206.60375952315735
299.5,205.77435890235924
300.0,204.8773286965892
300.5,204.05083644364458
301.0,203.15730213588049
301.5,202.3343336435493
302.0,201.4449154612276
302.5,200.62600299575138
303.0,199.74123669651766
303.5,198.92683939644596
304.0,198.0471864399109
304.5,197.23769913159123
305.0,196.363555645364
305.5,195.55931661202345
306.0,194.69102129218481
306.5,193.89231911873082
307.0,193.03016018953232
307.5,192.23723979162904
308.0,191.3814611351902
308.5,190.59452906886943
309.0,189.745335622998
309.5,188.96456475999642
310.0,188.12212727091332
310.5,187.3476609150365
311.0,186.51212012166923
311.5,185.74407563266865
312.0,184.91554595017737
312.5,184.1540179338052
313.0,183.33259069602576
313.5,182.57765381199874
314.0,181.76340012542263
314.5,181.01511155889284
315.0,180.20808481455964
315.5,179.46648645127706
316.0,178.66672453543904
316.5,177.93184487600402
317.0,177.13937211555822
317.5,176.41122795994707
318.0,175.6260568343385
318.5,174.90465476416563
319.0,174.12678741168247
319.5,173.41212509438319
320.0,172.64155463743137
320.5,171.9336219736645
321.0,171.17033368467244
321.5,170.46911381769385
322.0,169.71308614471184
322.5,169.0185563482324
323.0,168.2697618170109
323.5,167.58189427607698
324.0,166.84030028340536
324.5,166.1590627811015
325.0,165.42463229241622
325.5,164.74998881366201
326.0,164.02268097638378
326.5,163.3545922387451
327.0,162.63436292142953
327.5,161.97278684168188
328.0,161.25958910786426
328.5,160.60448121199897
329.0,159.89826573655242
329.5,159.24957951999667
330.0,158.5502949548854
330.5,157.90798219889814
331.0,157.2155754943878
331.5,156.5795865438799
332.0,155.8940032305381
332.5,155.26428723793822
333.0,154.58547167412436
333.5,153.96197681335727
334.0,153.28987240233542
334.5,152.67254605649578
